Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.044162899365573834,0.041513125403639405,0.04239638339095088,0.04249135736808114,0.04381149565019185,0.04268130532234168,0.04276678190175892,0.04302321164001064,0.04470425103521635,0.04119971127910953
Blocking probability,1,all,all,all, ,0.04088629715457964,0.044039433195304484,0.04235839380009877,0.04455229267180792,0.043783003457052765,0.04714508224746419,0.04100976332484899,0.04501766515974623,0.04039243247350226,0.042966227253732475
Blocking probability,2,all,all,all, ,0.0670136382631159,0.06984386278159785,0.06611138548037837,0.06717509402423735,0.06916954754397295,0.06657675796831668,0.06881814382859097,0.06759297952361053,0.06385100482467804,0.07033772746267522
Blocking probability,3,all,all,all, ,0.10140371538198534,0.09246666413402728,0.1015366789499677,0.09698742544542795,0.09819359495498234,0.09754777191049653,0.09486950575542301,0.09446111765376287,0.1014986893591156,0.09699692284314097


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.04406792538844357,0.041389659233370055,0.04216844584583824,0.042377388595524826,0.043650039889070395,0.04253884435664628,0.042662310526915624,0.04291874026516734,0.044580784864947,0.04111423469969228
Blocking probability by QoTN,1,all,all,all, ,0.04079132317744938,0.0439729514113133,0.04224442502754246,0.0444003343083995,0.043574060707366184,0.047012118679481824,0.040981271131709913,0.04494168597804202,0.040316453291798046,0.042861755878889185
Blocking probability by QoTN,2,all,all,all, ,0.06688067469513354,0.06972989400904152,0.06604490369638719,0.0670136382631159,0.06908407096455571,0.06652927097975155,0.06874216464688675,0.06749800554648026,0.06373703605212172,0.07026174828097101
Blocking probability by QoTN,3,all,all,all, ,0.10129924400714205,0.09236219275918399,0.10145120237055047,0.09684496447973255,0.09807962618242602,0.09736732135394902,0.09478402917600577,0.09439463586977168,0.10141321277969836,0.09691144626372374


Blocking probability by QoTO,0,all,all,all, ,9.497397713026631E-5,1.234661702693462E-4,2.2793754511263913E-4,1.1396877255631957E-4,1.6145576112145272E-4,1.4246096569539945E-4,1.0447137484329294E-4,1.0447137484329294E-4,1.234661702693462E-4,8.547657941723967E-5
Blocking probability by QoTO,1,all,all,all, ,9.497397713026631E-5,6.648178399118641E-5,1.1396877255631957E-4,1.519583634084261E-4,2.089427496865859E-4,1.3296356798237283E-4,2.849219313907989E-5,7.597918170421305E-5,7.597918170421305E-5,1.0447137484329294E-4
Blocking probability by QoTO,2,all,all,all, ,1.3296356798237283E-4,1.1396877255631957E-4,6.648178399118641E-5,1.6145576112145272E-4,8.547657941723967E-5,4.7486988565133154E-5,7.597918170421305E-5,9.497397713026631E-5,1.1396877255631957E-4,7.597918170421305E-5
Blocking probability by QoTO,3,all,all,all, ,9.497397713026631E-5,7.597918170421305E-5,4.7486988565133154E-5,1.234661702693462E-4,1.0447137484329294E-4,1.6145576112145272E-4,8.547657941723967E-5,3.7989590852106524E-5,7.597918170421305E-5,8.547657941723967E-5


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,9.497397713026631E-6,2.849219313907989E-5,3.7989590852106524E-5,1.8994795426053262E-5,9.497397713026631E-6,1.8994795426053262E-5,0.0,2.849219313907989E-5,9.497397713026631E-6,0.0


Blocking probability per pair,0,all,26,27, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,27,18, ,0.06206896551724138,0.08088235294117647,0.06206896551724138,0.08633093525179857,0.027972027972027972,0.029197080291970802,0.08208955223880597,0.04964539007092199,0.04054054054054054,0.05405405405405406
